PLMN,SYSTEM,XCI,xNBID,LOCAL_CID,LAC/TAC,PCI/PSC/BSIC,ARFCN,BAND,RSSI,RSRP/RSCP,RSRQ/ECIO,SNR,CQI,TA,DISTANCE,DELTA_AZI,LAT,LON,ALTITUDE(m),SPEED,GPS_ACCURACY,UL,DL,BANDWIDTH,BANDWIDTHS,CA,NR_STATE,NARFCN,NR_BAND,NR_PCI,NR_SS_RSRP,NR_SS_RSRQ,NR_SS_SINR,NR_CSI_RSRP,NR_CSI_RSRQ,NR_CSI_SINR,CLF_LABEL,CLF_LOC,CLF_DESC,DATE,TIME,ROAMING
50502,4,20882737,81573,49,52009,15,9260,700 B28,-93,-94,-7,-7,13,6.0,,,-33.863796,151.210786,32.0,3,7,0,35,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7553125,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-87,-86,-6,15,12,6.0,,,-33.863781,151.210727,32.0,2,8,11,39,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7555439814814815,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-89,-85,-7,10,13,6.0,,,-33.863785,151.210671,32.0,4,6,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7555787037037037,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-97,-102,-9,3,9,6.0,,,-33.863798,151.210627,28.0,1,8,126,825,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7565393518518518,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-101,-101,-6,14,9,6.0,,,-33.863843,151.210602,28.0,4,10,0,34,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7567361111111112,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-101,-97,-7,15,10,6.0,,,-33.863892,151.210599,28.0,4,12,233,833,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7567939814814815,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-93,-104,-8,-6,12,6.0,,,-33.863948,151.210622,28.0,3,13,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7568402777777777,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-97,-92,-6,13,11,6.0,,,-33.863965,151.210676,28.0,3,10,0,34,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7569097222222222,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-89,-93,-7,23,11,6.0,,,-33.863957,151.210731,28.0,3,8,0,0,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7569791666666666,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-91,-96,-6,21,11,6.0,,,-33.863945,151.210787,28.0,3,8,0,34,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7570486111111111,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-95,-97,-6,15,8,6.0,,,-33.863858,151.210797,28.0,4,8,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7571527777777778,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-83,-94,-7,12,9,6.0,,,-33.86381,151.210791,28.0,4,8,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7572106481481482,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-89,-96,-7,13,7,6.0,,,-33.863746,151.210795,28.0,2,8,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7574074074074074,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-89,-88,-7,13,8,6.0,,,-33.863724,151.21074,28.0,4,9,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7574537037037037,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-89,-84,-7,18,7,6.0,,,-33.863724,151.210651,28.0,4,12,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7575578703703704,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-103,-97,-9,7,9,6.0,,,-33.863758,151.21061,28.0,3,11,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7576388888888889,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-107,-125,-15,6,7,6.0,,,-33.863794,151.210601,24.0,1,8,1,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7580671296296296,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-95,-95,-6,14,11,6.0,,,-33.863832,151.21056,24.0,1,9,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7583217592592593,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-91,-94,-7,23,13,6.0,,,-33.863876,151.210536,24.0,4,14,11,96,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.758425925925926,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-87,-77,-6,22,15,6.0,,,-33.863902,151.210582,24.0,3,16,1,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7584837962962963,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-85,-83,-6,28,14,6.0,,,-33.863917,151.210651,24.0,0,13,0,34,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7585879629629629,HOME
